table,MCQ,EDA,Forecasting,future_availability,reason
customers,True,True,Indirect,historical dimension only,"Customer segmentation by age group, gender, and acquisition channel."
geography,True,True,Indirect,static reference,"Reference table for city, district, and region joins."
inventory,False,True,Historical feature only,not known for future,"Monthly stock and stockout indicators are useful, but snapshot timing must be respected."
order_items,True,True,Historical feature only,not known for future,"Line-level quantity, price, discount, product, and promotion usage."
orders,True,True,Historical feature only,not known for future,"Core transaction table with order dates, channels, devices, status, and geography."
payments,True,True,Historical feature only,not known for future,Payment method and installment mix support business analysis.
products,True,True,Indirect,static reference,"Product dimension table for category, segment, size, price, and COGS."
promotions,True,True,Known calendar feature if provided,known only for rows in promotions table,Promotion calendar can be used if campaign dates are known without target leakage.
returns,True,True,Historical feature only,not known for future,Return reasons and refund pressure explain net revenue risk.
reviews,False,True,Historical feature only,not known for future,Ratings and review titles support customer-satisfaction analysis.
sales,False,True,Target train,unknown target,"Training target table with Date, Revenue, and COGS."
sample_submission,False,False,Submission schema only,future dates only,Use only Date/order/schema. Ignore Revenue/COGS values to avoid leakage.
shipments,False,True,Historical feature only,not known for future,Shipping delay and fee analysis for logistics insights.
web_traffic,True,True,Historical feature only,not known for future unless provided separately,Daily traffic can act as a demand signal only when using historical/lagged values.
