feature,importance
payment_value_total_lag_1,0.26358694
revenue_lag_1,0.21412791
cogs_lag_365,0.06843203
revenue_lag_365,0.016882243
inv_units_received_lag_1,0.015492747
revenue_lag_7,0.014769659
revenue_lag_14,0.013023607
revenue_lag_28,0.012604284
cogs_lag_7,0.012032678
shipping_fee_total_roll_mean_7,0.010215839
unique_products_sold_lag_1,0.009562879
shipped_orders_roll_mean_7,0.00884122
cogs_lag_28,0.008401196
inv_units_sold_lag_1,0.008110444
revenue_roll_mean_30,0.007923571
day_of_month,0.007860216
active_promo_categories_roll_mean_7,0.0062272954
quantity_sold_roll_mean_7,0.006154469
order_item_rows_lag_1,0.006038882
inv_sell_through_rate_lag_1,0.005492749
revenue_roll_mean_7,0.0054593384
active_promo_categories_lag_1,0.005437583
unique_products_sold_roll_mean_7,0.0053809653
cogs_lag_14,0.005198375
inv_units_received_roll_mean_7,0.005037481
return_reasons_roll_mean_7,0.004955463
order_count_lag_1,0.0049223956
order_count_roll_mean_7,0.0048711714
inv_overstock_flag_share_lag_1,0.0047406554
inv_units_sold_roll_mean_7,0.004729661
discount_amount_total_roll_mean_7,0.0044993423
revenue_roll_std_30,0.0044770935
payment_value_total_roll_mean_7,0.004464796
revenue_roll_mean_60,0.0043946095
revenue_roll_mean_14,0.0042506796
revenue_roll_std_7,0.004157704
cogs_roll_mean_28,0.0041351817
inv_days_of_supply_roll_mean_7,0.003971008
cogs_roll_mean_7,0.003927024
cogs_roll_mean_14,0.0039165583
inv_days_of_supply_lag_1,0.0038779501
day_of_week,0.003864116
low_rating_share_roll_mean_7,0.0037530153
cogs_lag_60,0.0037185643
avg_discount_rate_roll_mean_7,0.0036788085
cogs_roll_mean_30,0.0036118294
avg_installments_lag_1,0.003596408
avg_unit_price_roll_mean_7,0.0035618353
cogs_lag_1,0.0035075184
avg_installments_roll_mean_7,0.003490637
inv_sell_through_rate_roll_mean_7,0.003257929
order_item_rows_roll_mean_7,0.0032051497
month,0.0031730125
avg_shipping_fee_roll_mean_7,0.0031388605
inv_stock_on_hand_lag_1,0.0031240848
cogs_roll_mean_60,0.0030577858
cogs_lag_30,0.003041955
revenue_lag_90,0.002993506
promo_item_share_roll_mean_7,0.002962108
revenue_roll_std_14,0.002936949
revenue_lag_30,0.0028954088
time_index,0.0028644498
inv_fill_rate_lag_1,0.0028542276
return_records_roll_mean_7,0.0028436375
inv_stock_on_hand_roll_mean_7,0.0028351555
inv_overstock_flag_share_roll_mean_7,0.0028344004
cogs_lag_90,0.002769287
avg_discount_rate_lag_1,0.0027556345
avg_unit_price_lag_1,0.002697609
web_avg_session_duration_sec_roll_mean_7,0.0026415014
week_of_year,0.0025813032
shipping_fee_total_lag_1,0.0025609944
inv_stockout_days_lag_1,0.0025250956
avg_rating_roll_mean_7,0.0025103863
web_avg_session_duration_sec_lag_1,0.0024217714
quantity_sold_lag_1,0.0024112975
refund_amount_roll_mean_7,0.002367506
web_page_views_per_session_roll_mean_7,0.0023629367
day_of_year,0.0023510603
revenue_ewm_7,0.002301997
web_unique_visitors_lag_1,0.0022821522
review_count_roll_mean_7,0.0022616389
web_bounce_rate_lag_1,0.0022457899
low_rating_share_lag_1,0.0022375425
revenue_roll_std_60,0.0021868905
promo_item_share_lag_1,0.0021375532
return_quantity_roll_mean_7,0.0021047643
review_count_lag_1,0.002104752
web_page_views_roll_mean_7,0.0020837467
cogs_roll_mean_90,0.0020599451
revenue_roll_std_90,0.0020462119
web_unique_visitors_roll_mean_7,0.0020158123
inv_stockout_flag_share_lag_1,0.0020142994
revenue_ewm_30,0.0019958578
refund_amount_lag_1,0.0019571222
active_campaigns_roll_mean_7,0.001942005
return_reasons_lag_1,0.0019412347
revenue_roll_mean_28,0.0019076822
avg_rating_lag_1,0.0018904709
web_page_views_lag_1,0.0018754201
revenue_lag_60,0.0018611982
discount_amount_total_lag_1,0.0018564323
revenue_roll_std_28,0.0018508733
shipped_orders_lag_1,0.0018184901
return_records_lag_1,0.0017636394
avg_delivery_delay_days_lag_1,0.0017147493
web_sessions_lag_1,0.0016878948
web_bounce_rate_roll_mean_7,0.0016814733
revenue_roll_mean_90,0.0016090702
avg_delivery_delay_days_roll_mean_7,0.001577691
active_promo_channels_roll_mean_7,0.0015494884
inv_stockout_days_roll_mean_7,0.0015409589
avg_shipping_fee_lag_1,0.0015393486
return_quantity_lag_1,0.0014960297
web_page_views_per_session_lag_1,0.0014689969
inv_stockout_flag_share_roll_mean_7,0.0013699556
inv_fill_rate_roll_mean_7,0.001244803
web_sessions_roll_mean_7,0.0009877696
year,0.0007699927
active_campaigns_lag_1,0.00034585665
unique_categories_sold_roll_mean_7,0.00031844553
is_weekend,1.0274312e-05
quarter,0.0
active_promo_types_lag_1,0.0
active_promo_types_roll_mean_7,0.0
active_promo_channels_lag_1,0.0
inv_reorder_flag_share_lag_1,0.0
inv_reorder_flag_share_roll_mean_7,0.0
unique_categories_sold_lag_1,0.0
web_traffic_sources_roll_mean_7,0.0
web_traffic_sources_lag_1,0.0
